"year_","ID","box","box_partner","ep"
2018,"B4H1878",152,123,1
2018,"B4H0136",201,198,1
2018,"B4H0389",77,113,1
2018,"B4P8145",137,113,1
2018,"B4P8229",196,183,1
2018,"B4P9096",44,183,1
2018,"B4P9402",46,55,1
2018,"B4P9062",21,51,1
2018,"B4P9096",44,46,1
2018,"B3Y5783",228,269,1
2018,"B4H0857",269,261,1
2018,"B4P8750",271,261,1
2018,"B4P9056",225,226,1
2018,"B4H0095",130,119,1
2018,"B4P9140",199,196,1
2018,"B4P9596",230,252,1
2018,"B4P8766",49,111,1
2018,"B4H0051",73,49,1
2018,"B3Y5763",99,37,1
2018,"B4P9012",100,37,1
2018,"B3Y5783",228,250,1
2018,"B4H0380",253,254,1
2018,"B4H0095",130,157,1
2018,"B4P9196",241,207,1
2018,"B3Y5763",99,68,1
2018,"B4P8109",115,136,1
2018,"B4P9734",252,253,1
2018,"B4P8630",35,2,1
2018,"B4H1299",270,271,1
2018,"B4P8958",174,206,1
2018,"B4P9313",221,244,1
2018,"B4P9012",100,71,1
2018,"B3Y5783",228,229,1
2018,"B4P9712",207,229,1
2018,"B4P9070",229,262,1
2018,"B2X4920",163,85,1
2019,"B4H0150",125,124,1
2019,"B4X1390",100,124,1
2019,"B4P8229",158,172,1
2019,"B4X1633",201,179,1
2019,"B4P8766",54,21,1
2019,"B4P9361",89,90,1
2019,"B4X1550",61,28,1
2019,"B4P9712",219,261,1
2019,"B4P8714",223,202,1
2019,"B4P9301",68,38,1
2019,"B4P9614",23,24,1
2019,"B4X1508",228,219,1
2019,"B4P1849",136,162,1
2019,"B4P9250",88,77,1
2019,"B4P9991",165,137,1
2019,"B4H0857",268,233,1
2019,"B4P8766",54,80,1
2019,"B4P9596",251,238,1
2019,"B4X1821",28,9,1
2019,"B4X1721",229,228,1
2019,"B4H0384",184,189,1
2019,"B4H0389",108,111,1
2019,"B4P8109",77,111,1
2019,"B4X1150",56,111,1
2019,"B4H0857",268,267,1
2019,"B4P1849",136,109,1
2019,"B4P1849",136,112,1
2019,"B4H0471",7,30,1
2019,"B4P9615",87,23,1
