"ID","transponder","sex"
"B2V8761","069EC4B43A6F0001",1
"B2V8762","7F5524B43A6F0001",2
"B2V8763","F65524B43A6F0001",2
"B2V8764","F1F524B43A6F0001",1
"B2V8765","19D524B43A6F0001",2
"B2V8766","4EDDC4B43A6F0001",2
"B2V8771","B26AC4B43A6F0001",1
"B2V8774","8B3924B43A6F0001",2
"B2V8779","9BFE96A801AF0001",1
"B2V8779","0F4213A801AF0001",1
"B2V8780","F216C4B43A6F0001",1
"B2V8781","E8F9C4B43A6F0001",1
"B2V8781","9EF9C4B43A6F0001",1
"B2V8785","F54213A801AF0001",1
"B2V8788","A46AC4B43A6F0001",1
"B2V8789","4576C4B43A6F0001",2
"B2V8790","3C23C4B43A6F0001",1
"B2V8791","E5DDC4B43A6F0001",2
"B2V8792","842DC4B43A6F0001",1
"B2V8792","42CEC4B43A6F0001",1
"B2V8792","E81EBDD001AF0001",1
"B2V8793","3CAD24B43A6F0001",2
"B2V8794","F765C4B43A6F0001",1
"B2V8795","08E524B43A6F0001",2
"B2V8796","CDB6C4B43A6F0001",1
"B2V8797","86F524B43A6F0001",1
"B2V8798","2FDDC4B43A6F0001",2
"B2V8799","A9EDC4B43A6F0001",1
"B2V8800","2F46C4B43A6F0001",1
"B2V8802","A7A524B43A6F0001",2
"B2V8802","6525C4B43A6F0001",2
"B2V8803","D47124B43A6F0001",1
"B2V8804","C3F124B43A6F0001",2
"B2V8805","436524B43A6F0001",2
"B2V8806","D35524B43A6F0001",1
"B2V8807","BAE9C4B43A6F0001",1
"B2V8818","57A5C4B43A6F0001",2
"B2V8819","AC9DC4B43A6F0001",1
"B2V8820","19E6C4B43A6F0001",2
"B2V8821","C2D5C4B43A6F0001",1
"B2V8822","8C5924B43A6F0001",2
"B2V8823","09BDC4B43A6F0001",1
"B2V8824","5A5524B43A6F0001",2
"B2V8824","4AECE7D001AF0001",2
"B2V8825","1B86C4B43A6F0001",1
"B2V8826","2E2524B43A6F0001",2
"B2V8827","2C2524B43A6F0001",1
"B2V8828","C5A5C4B43A6F0001",1
"B2V8829","B8C6C4B43A6F0001",2
