"ID","ageFirstCap","season","k","age"
"B2V8471",1,2014,7,2
"B2V8471",1,2015,8,2
"B2V8471",1,2016,9,2
"B2V8471",1,2017,10,2
"B2V8471",1,2018,11,2
"B2V8471",1,2019,12,2
"B2V8471",1,2020,13,2
"B2V8472",1,2008,1,1
"B2V8472",1,2009,2,2
"B2V8472",1,2010,3,2
"B2V8472",1,2011,4,2
"B2V8472",1,2012,5,2
"B2V8472",1,2013,6,2
"B2V8472",1,2014,7,2
"B2V8472",1,2015,8,2
"B2V8472",1,2016,9,2
"B2V8472",1,2017,10,2
"B2V8472",1,2018,11,2
"B2V8472",1,2019,12,2
"B2V8472",1,2020,13,2
"B2V8473",1,2008,1,1
"B2V8473",1,2009,2,2
"B2V8473",1,2010,3,2
"B2V8473",1,2011,4,2
"B2V8473",1,2012,5,2
"B2V8473",1,2013,6,2
"B2V8473",1,2014,7,2
"B2V8473",1,2015,8,2
"B2V8473",1,2016,9,2
"B2V8473",1,2017,10,2
"B2V8473",1,2018,11,2
"B2V8473",1,2019,12,2
"B2V8473",1,2020,13,2
"B2V8479",1,2010,1,1
"B2V8479",1,2011,2,2
"B2V8479",1,2012,3,2
"B2V8479",1,2013,4,2
"B2V8479",1,2014,5,2
"B2V8479",1,2015,6,2
"B2V8479",1,2016,7,2
"B2V8479",1,2017,8,2
"B2V8479",1,2018,9,2
"B2V8479",1,2019,10,2
"B2V8479",1,2020,11,2
"B2V8493",1,2010,1,1
"B2V8493",1,2011,2,2
"B2V8493",1,2012,3,2
"B2V8493",1,2013,4,2
"B2V8493",1,2014,5,2
"B2V8493",1,2015,6,2
"B2V8493",1,2016,7,2
"B2V8493",1,2017,8,2
"B2V8493",1,2018,9,2
"B2V8493",1,2019,10,2
"B2V8493",1,2020,11,2
"B2V8495",1,2010,1,1
"B2V8495",1,2011,2,2
"B2V8495",1,2012,3,2
"B2V8495",1,2013,4,2
"B2V8495",1,2014,5,2
"B2V8495",1,2015,6,2
"B2V8495",1,2016,7,2
"B2V8495",1,2017,8,2
"B2V8495",1,2018,9,2
"B2V8495",1,2019,10,2
"B2V8495",1,2020,11,2
"B2V8602",0,2011,1,0
"B2V8602",0,2012,2,1
"B2V8602",0,2013,3,2
"B2V8602",0,2014,4,2
"B2V8602",0,2015,5,2
"B2V8602",0,2016,6,2
"B2V8602",0,2017,7,2
"B2V8602",0,2018,8,2
"B2V8602",0,2019,9,2
"B2V8602",0,2020,10,2
"B2V8603",0,2011,1,0
"B2V8603",0,2012,2,1
"B2V8603",0,2013,3,2
"B2V8603",0,2014,4,2
"B2V8603",0,2015,5,2
"B2V8603",0,2016,6,2
"B2V8603",0,2017,7,2
"B2V8603",0,2018,8,2
"B2V8603",0,2019,9,2
"B2V8603",0,2020,10,2
"B2V8604",0,2011,1,0
"B2V8604",0,2012,2,1
"B2V8604",0,2013,3,2
"B2V8604",0,2014,4,2
"B2V8604",0,2015,5,2
"B2V8604",0,2016,6,2
"B2V8604",0,2017,7,2
"B2V8604",0,2018,8,2
"B2V8604",0,2019,9,2
"B2V8604",0,2020,10,2
"B2V8605",0,2011,1,0
"B2V8605",0,2012,2,1
