"ID","sex"
"B2V8271",2
"B2V8272",1
"B2V8273",2
"B2V8274",1
"B2V8275",2
"B2V8276",2
"B2V8277",2
"B2V8278",1
"B1V5589",2
"B1V5576",1
"B2F5531",1
"B2F5532",1
"B2F5533",1
"B2F5534",1
"B2F5535",2
"B2F5536",2
"B2F5537",1
"B2F5538",1
"B2F5539",1
"B2F5540",2
"B1V5051",2
"X02016407",2
"X03016407",1
"X04016407",1
"X05016407",1
"X06016407",2
"X07016407",2
"X08016407",2
"X09016407",2
"X10016407",1
"X01016407",2
"B1V5553",2
"B1V5541",1
"B2F5658",1
"B2F5659",2
"B2F5660",1
"B2F5661",2
"B2F5662",2
"B2F5663",2
"B2F5664",2
"B2F5665",1
"B2F5666",1
"B2F5667",2
"B2F5668",2
"B2F5669",2
"B1V5586",1
"B1P5985",2
"B2V8190",1
"B2V8191",1
"B2V8192",1
"B2V8193",1
"B2V8194",2
"B2V8195",2
"B2V8196",2
"B2V8197",2
"B2V8198",1
"B2V8199",1
"B2V8200",1
"B1P5971",2
"B1V5400",1
"X02017307",1
"X03017307",1
"B2V8361",2
"B2V8362",1
"B2V8363",2
"B2V8364",2
"B2V8365",1
"B2V8366",1
"B2V8367",2
"B2V8368",1
"B1V5599",2
"X02017707",1
"B2F5692",2
"B2F5693",1
"B2F5694",1
"B2F5695",1
"B2F5696",1
"B2F5697",1
"B2F5698",2
"B2F5699",2
"B2F5394",2
"B2F5395",1
"B2F5396",2
"B2F5397",2
"B2F5398",2
"B2F5399",1
"B2F5400",1
"B2V8097",2
"B2V8098",2
"B2V8099",1
"B2V8100",2
"B1V5543",1
"B1P5981",2
"B2F5601",1
"B2F5602",1
"B2F5603",2
"B2F5604",2
"B2F5605",1
"B2F5606",2
"B2F5607",2
"B2F5608",1
"B2F5609",2
"B2F5610",2
"B2F5611",2
"B1V5467",2
"B1P5972",1
"X03019807",1
"X04019807",1
"X01019807",2
"B2F5495",1
"B2F5496",1
"B2F5497",1
"B2F5498",1
"B2F5499",2
"B2F5500",1
"B2V8301",1
"B1V5391",1
"B1V5465",2
"B2F5485",1
"B2F5486",1
"B2F5487",2
"B2F5488",2
"B2F5489",1
"B2F5490",1
"B2F5491",2
"B2F5492",1
"B2F5493",1
"B2F5494",2
"B1V5581",2
"B1V5582",1
"X01020207",1
"X02020207",1
"B2F5560",2
"B2F5561",2
"B2F5562",2
"B2F5563",2
"B2F5564",2
"B2F5565",1
"B2F5566",1
"B2F5567",2
"B2F5568",2
"B2F5569",1
"B2F5570",2
"B2F5571",2
"B1V5372",2
"B1V5390",1
"X01020407",2
"X02020407",1
"X03020407",1
"X04020407",2
"X05020407",1
"X06020407",1
"X07020407",1
"X08020407",1
"X09020407",1
"X10020407",1
"X11020407",2
"X12020407",1
"X13020407",1
"B1P5990",2
"B1V5486",1
"X02020507",1
"B2V8369",2
"B2V8370",2
"B2V8371",2
"B2V8372",2
"B2V8373",2
"B2V8374",1
"B2V8375",2
"B2V8376",2
"B2V8377",2
"B1V5389",2
"B1V5470",1
"B2V8103",1
"B2V8104",2
"B2V8105",2
"B2V8106",2
"B2V8107",1
"B2V8108",1
"B2V8109",2
"B2V8110",1
"B2V8111",1
"B2V8112",2
"B2V8113",1
"B2V8114",2
"X01020807",1
"X02020807",2
"X03020807",1
"X04020807",1
"X05020807",1
"X01020907",2
"X03020907",1
"X04020907",2
"X05020907",1
"X10020907",1
"B1V5544",1
"B1V5562",2
"X01021107",2
"B2F5649",2
"B2F5650",1
"B2F5651",2
"B2F5653",1
"B2F5654",2
"B2F5655",2
"B2F5656",2
"B1V5477",1
"B1V5464",2
"B2V8378",1
"B2V8379",1
"B2V8380",1
"B2V8381",2
"B2V8382",2
"B2V8383",2
"B2V8384",1
"B2V8385",1
"B2V8386",2
"B2V8387",2
"B1V5563",2
"B1V5547",1
"X01021607",2
"B2F5639",2
"B2F5640",1
"B2F5641",1
"B2F5642",2
"B2F5643",1
"B2F5644",1
"B2F5645",2
"B2F5646",2
"B2F5647",2
"B2F5648",2
"B1V5466",2
"B1V5392",1
"X01021907",2
"B2V8132",1
"B2V8133",2
"B2V8134",2
"B2V8135",2
"B2V8136",2
"B2V8137",1
"B2V8138",1
"B2V8139",2
"B2V8140",2
"B1V5566",2
"B1V5545",1
"X01022007",2
"B2F5612",1
"B2F5613",2
"B2F5614",1
"B2F5615",2
"B2F5616",1
"B2F5617",1
"B2F5618",1
"B2F5619",1
"B2F5620",2
"B1V5374",2
"B1P5989",1
"B2F5476",2
"B2F5477",2
"B2F5478",2
"B2F5479",1
"B2F5480",1
"B2F5481",1
"B2F5482",2
"B2F5483",2
"B2F5484",2
"B2F5700",2
"B1V5498",2
"B1V5495",1
"B2V8422",2
"B2V8423",1
"B2V8424",2
"B2V8425",2
"B2V8426",2
"B2V8427",1
"B1V5394",2
"B1V5585",1
"B2V8124",1
"B2V8125",2
"B2V8126",2
"B2V8127",2
"B2V8128",1
"B2V8129",2
"B2V8130",2
"B2V8131",2
"B1V5590",2
"B1V5565",1
"B2V8238",1
"B2V8239",2
"B2V8240",1
"B2V8241",1
"B2V8242",1
"B2V8243",1
"B2V8244",1
"B2V8245",1
"B2V8246",1
"B2V8247",2
"B1V5494",2
"X02023807",1
"B2V8265",1
"B2V8266",2
"B2V8267",1
"B2V8268",1
"B2V8269",2
"B2V8270",1
"B1V5473",1
"B1V5393",2
"X01024507",1
"B2V8339",2
"B2V8340",2
"B2V8341",1
"B2V8342",2
"B2V8343",1
"B2V8344",1
"B2V8345",1
"B2V8346",2
"B2V8347",1
"B2V8348",2
"B2V8349",1
"B1P5992",2
"B1P5984",1
"X01025007",2
"X02025007",1
"X03025007",2
"B2F5440",2
"B2F5441",1
"B2F5442",1
"B2F5443",1
"B2F5444",2
"B2F5445",2
"B2F5446",2
"B1V5564",2
"B1V5546",1
"B2F5630",1
"B2F5631",2
"B2F5632",2
"B2F5633",2
"B2F5634",2
"B2F5635",2
"B2F5636",2
"B2F5637",2
"B2F5638",2
"B1V5395",2
"B1V5584",1
"B2V8227",1
"B2V8228",2
"B2V8229",2
"B2V8230",1
"B2V8231",1
"B2V8232",1
"B2V8233",2
"B2V8234",1
"B2V8235",2
"B2V8236",2
"B2V8237",2
"B1V5538",1
"B1V5550",2
"B2F5431",2
"B2F5432",1
"B2F5433",2
"B2F5434",2
"B2F5435",1
"B2F5436",1
"B2F5437",1
"B2F5438",2
"B2F5439",1
"B1V5476",1
"X01026207",1
"X02026207",2
"B2V8388",1
"B2V8389",2
"B2V8390",2
"B2V8391",1
"B2V8392",2
"B2V8393",1
"B2V8394",1
"B2V8395",1
"B2V8396",1
"B1V5549",2
"B1V5583",1
"B2F5621",1
"B2F5622",2
"B2F5623",1
"B2F5624",2
"B2F5625",2
"B2F5626",1
"B2F5627",2
"B2F5628",1
"B2F5629",2
"B1V5561",2
"B1V5588",1
"B2F5311",1
"B2F5312",1
"B2F5313",1
"B2F5314",1
"B2F5315",1
"B2F5316",2
"B2F5317",2
"B2F5318",2
"B2F5319",2
"B2F5320",1
"B1V5560",2
"B1P5975",1
"X01027407",1
"B2F5321",2
"B2F5322",2
"B2F5323",1
"B2F5324",2
"B2F5325",2
"B2F5327",2
"B2F5328",1
"B2F5329",2
"B2F5330",1
"B2F5331",1
"B2F5332",2
"B1V5548",2
"X01027507",2
"B2F5447",2
"B2F5448",1
"B2F5449",1
"B2F5450",2
"B2F5451",1
"B2F5452",2
"B2F5453",1
"B2F5454",2
"B2F5455",1
"B2F5456",1
"B2F5457",1
"B1P5983",2
"B1V5489",1
"B2V8115",1
"B2V8116",1
"B2V8117",2
"B2V8118",1
"B2V8119",1
"B2V8120",2
"B2V8121",2
"B2V8122",1
"B2V8123",2
"B1V5469",2
"B1P5976",1
"X01027707",2
"X02027707",1
"B2V8329",2
"B2V8330",1
"B2V8331",1
"B2V8332",1
"B2V8333",2
"B2V8334",1
"B2V8335",1
"B2V8336",1
"B2V8337",2
"B2V8338",1
"B1P5978",2
"B1P5987",2
"B1P5988",2
"B1P5970",2
"B1P5973",1
"B1P5979",2
"B1P5991",2
"B1P5974",1
"X01000007",2
"B2X3101",1
"B2X3102",2
"B2X3103",2
"B2X3104",1
"B2X3105",1
"B2X3106",2
"B2X3107",2
"B2X3108",1
"B2X3109",2
"B2X3800",1
"X01000308",1
"X03000308",1
"X04000308",2
"X05000308",2
"X07000308",1
"X09000308",1
"B2X3072",1
"B2X3070",2
"B2X3474",2
"B2X3475",2
"B2X3476",1
"B2X3477",1
"B2X3478",2
"B2X3479",2
"B2X3480",1
"B2X3084",2
"B2X3085",1
"X01000608",1
"X02000608",1
"X03000608",1
"X04000608",2
"X05000608",2
"X06000608",1
"X07000608",1
"X08000608",2
"B2X3086",1
"X01000808",2
"X02000808",2
"X03000808",1
"X04000808",1
"X05000808",2
"X06000808",2
"X07000808",2
"X08000808",1
"X09000808",1
"B2X3493",1
"B2X3790",1
"B2X3791",2
"B2X3792",1
"B2X3793",1
"B2X3794",2
"B2X3795",1
"B2X3796",2
"B2X3797",2
"B2X3798",2
"B2X3799",2
"B2X3068",2
"X01001108",1
"B2X3481",1
"B2X3482",1
"B2X3483",2
"B2X3484",2
"B2X3485",2
"B2X3486",1
"B2X3487",1
"B2X3488",1
"B2X3489",1
"X01001208",2
"B2X3781",1
"B2X3782",2
"B2X3783",2
"B2X3784",2
"B2X3785",2
"B2X3786",2
"B2X3787",1
"B2X3788",1
"B2X3789",1
"X01001408",1
"X02001408",2
"X03001408",1
"X04001408",1
"X05001408",2
"X06001408",1
"X07001408",2
"X08001408",1
"X09001408",2
"B2X3041",2
"B2X3042",1
"B2X3401",2
"B2X3402",1
"B2X3403",2
"B2X3404",2
"B2X3405",2
"B2X3406",1
"B2X3407",1
"B2X3408",1
"B2X3409",2
"B2X3410",1
"B2X3411",1
"B2X3706",2
"B2X3490",2
"B2X3412",2
"B2X3413",2
"B2X3414",1
"B2X3415",1
"B2X3416",2
"B2X3417",1
"B2X3418",1
"B2X3419",2
"B2X3420",1
"B2X3421",1
"B2X3422",1
"B2X3452",1
"B2X3453",2
"B2X3454",1
"B2X3534",1
"B2X3535",1
"B2X3536",1
"B2X3537",2
"B2X3538",1
"B2X3092",1
"B2X3255",1
"B2X3256",2
"B2X3257",1
"B2X3258",2
"B2X3259",1
"B2X3260",1
"B2X3261",1
"B2X3262",1
"B2X3032",1
"B2X3033",2
"B2X3961",2
"B2X3962",2
"B2X3963",1
"B2X3964",2
"X03002808",2
"X01002808",1
"X02002808",2
"X05003208",2
"X06003208",1
"X08003208",1
"X09003208",1
"X10003208",1
"X03003208",2
"X12003208",1
"X01003308",1
"X02003308",2
"X04003308",2
"X05003308",2
"B2X3034",2
"B2X3035",1
"X04003408",1
"B2X3965",2
"B2X3966",2
"B2X3967",2
"X01003408",2
"X02003408",2
"X03003408",1
"B2X3062",2
"X01003508",2
"X02003508",2
"X03003508",2
"B2X3527",2
"B2X3528",2
"B2X3529",1
"B2X3530",2
"B2X3531",1
"B2X3532",2
"B2X3533",1
"B2X3064",1
"B2X3065",2
"B2X3518",2
"B2X3519",2
"B2X3520",2
"B2X3521",1
"B2X3522",2
"B2X3523",1
"B2X3524",2
"B2X3525",2
"B2X3526",2
